specific_dialogue_content,interaction_strategy,call_type,is_fraud,fraud_type
"left: 喂，你好，这里是速贷通贷款公司的客服，我是小张，我们公司最近推出了一款针对小微企业主的低息贷款产品，不知道你是否有这方面的需求？
right: 哦，贷款吗？我目前没有打算。
left: 嗯，了解了。但如果你将来有需要的话，我们这个贷款产品非常方便快捷，只要提交简单的资料，审核通过后就可以快速放款。
right: 这样啊，那我可以了解一下。
left: 太好了，为了方便你了解，我这里有一个链接，你可以点击下载我们的官方APP，里面有详细的介绍和申请流程。
right: 好的，我试试看。
left: 非常好，你下载后如果有任何问题都可以联系我，我的微信号是zhang123456，随时欢迎咨询。
right: 行，我加一下。
left: 太感谢了，有任何问题记得随时联系我，祝你生活愉快！
right: 好的，谢谢。",Factual Authenticity / Truthfulness,咨询客服,TRUE,客服诈骗
"left: 喂，你好，是李老板吗？
right: 你好，我是。有什么事情？
left: 我是华诚银行的客户经理小张，我们注意到您最近在我们这里办理了营业执照，想问一下您是否有资金周转的需求？
right: 哦，目前还没有什么需求，你们的贷款利率怎么样？
left: 我们有一款特别针对创业者的低息贷款，月息低至百分之零点五，最长可贷三年，非常适合您这样的初创企业。
right: 听起来不错，但是我得考虑一下。
left: 当然可以，考虑清楚是很重要的。不过，我这里还有一个特别的推荐，关于我们银行最新推出的创业投资计划，不仅提供贷款，还有专业的投资顾问团队帮助您规划业务发展，您有兴趣了解吗？
right: 嗯，这个听起来确实挺吸引人的，我怎么才能了解更多？
left: 太好了，为了方便您了解详情，您可以点击我发给您的链接，下载我们的官方APP，里面不仅有详细的介绍，还有在线客服随时解答您的疑问。
right: 好的，我会去下载看看的，谢谢你的推荐。",Factual Authenticity / Truthfulness,咨询客服,TRUE,银行诈骗
"left: 喂，你好，我是天域投资公司的客服专员，你之前在我们平台注册过，对吗？
right: 哦，是吗？我有点记不清了。
left: 是的，我们记录显示你对投资理财很感兴趣，最近我们有一个特别好的投资项目，收益非常可观，你感兴趣吗？
right: 投资理财？听起来不错，是什么项目？
left: 这是一个高收益、低风险的投资项目，我们保证月收益至少百分之五，而且可以随时提现。
right: 听起来真的不错，怎么加入呢？
left: 非常简单，你只需要点击我发给你的链接，下载我们的官方APP，注册账号，然后就可以开始投资了。
right: 好的，我试试看。
left: 太好了，这是链接，点击就可以直接下载。有任何问题，随时可以联系我。祝你投资顺利，再见！
right: 谢谢，再见。",Clarity,咨询客服,TRUE,投资诈骗
"left: 喂，你好，我是北京银行的客服，这边有一个特别好的贷款产品，不需要抵押，利息也很低，你最近有没有资金需求？
right: 我没有需求，谢谢。
left: 哦，这样啊，那可以加个微信吗？以后有用到的时候可以联系我，方便快捷。
right: 好吧，那加个微信吧。
left: 太好了，我的微信号是beijingbank123，你加我一下，我这边还有一些贷款产品的资料可以发给你。
right: 好的，我加你。
left: 太好了，你加了我微信之后，记得告诉我一声，我马上给你发资料。
right: 好的，我知道了。
left: 那太好了，资料里面有详细的贷款流程和利率信息，你有任何问题都可以随时问我。
right: 好的，谢谢。",Personalization,咨询客服,TRUE,银行诈骗
"left: 喂，你好，这边是中州银行的张经理，你是李老板吧？
right: 是的，你好。
left: 李老板，我们这边最近推出了一款低息贷款产品，非常适合中小企业主，您感兴趣吗？
right: 嗯，我最近确实需要资金周转，可以详细介绍一下吗？
left: 当然可以。这款贷款产品利率非常低，只需要五厘，而且审批流程特别快，一般当天就能放款。
right: 那听起来不错。需要什么手续呢？
left: 您只需要提供营业执照、身份证和银行流水，我们这边审核通过后，您就可以获得贷款。
right: 那我需要去银行一趟吗？
left: 不需要，您只需要下载我们的APP，通过APP提交资料，审核通过后，贷款就会直接打到您的账户上。
right: 那我怎么下载这个APP呢？
left: 您可以通过短信中的链接下载，或者我直接给您发一个二维码，您扫描二维码就能下载了。
right: 好的，那麻烦你把二维码发给我吧。
left: 好的，我马上给您发。您添加一下我的微信吧，我这边备注一下，方便后续联系。
right: 好的，我加你微信。
left: 好的，您加我微信后，我会把二维码发给您。麻烦您通过一下，我们联系好了就马上处理。
right: 好的，谢谢。
left: 不客气，祝您一切顺利，拜拜。
right: 拜拜。",Factual Authenticity / Truthfulness,咨询客服,TRUE,钓鱼诈骗
"left: 喂，您好，这里是财富管理中心，我是李经理，最近我们推出了一款高收益的投资理财产品，不知道您是否有兴趣了解一下？
right: 投资理财？靠谱吗？
left: 非常靠谱，这款产品是由我们资深团队精心打造，保证收益稳定，风险极低，您可以先尝试小额投资体验一下。
right: 那我要怎么操作呢？
left: 您可以先点击我发给您的链接下载我们的官方APP，注册后就可以开始投资了。
right: 官方APP？安全吗？
left: 绝对安全，我们是正规的财富管理公司，APP也经过了严格的安全测试，您可以放心使用。
right: 那好吧，我试试看。
left: 非常好，您下载后有任何问题都可以联系我，祝您投资愉快。
right: 谢谢。",Clarity,咨询客服,TRUE,投资诈骗
"left: 喂，你好，我是广发银行的客户经理，最近我们有一项优惠活动，想了解一下你是否有兴趣？
right: 你好，什么活动？
left: 我们最近有一个低息贷款项目，额度高，审批快，非常适合有资金需求的客户。
right: 听起来不错，怎么申请呢？
left: 非常简单，你只需要点击这个链接，填写一些基本信息，我们的审核团队会尽快处理。
right: 链接？怎么给我？
left: 你加一下我的微信，我把链接发给你，微信号是八八八八八八八八八。
right: 好的，我加你。
left: 太好了，加完微信后，你记得告诉我一声，我会马上给你发送链接。
right: 好的，我知道了，谢谢你。",Clarity,咨询客服,TRUE,钓鱼诈骗
"left: 喂，你好，我是建设银行信贷中心的张经理。
right: 你好，张经理。
left: 最近我们推出了一款特别适合小微企业主的贷款产品，低利率，无抵押，您是否有兴趣了解一下？
right: 嗯，我最近确实有点资金周转的需求。
left: 太好了，我们这款产品非常适合您。为了方便您了解详细信息，我可以发一个链接给您，里面有关于产品的详细介绍和申请流程。
right: 好的，可以发给我。
left: 好的，稍等一下，我这就给您发过去。请您注意查收，并尽快点击链接查看，有任何问题可以随时联系我。
right: 好的，谢谢张经理。
left: 不客气，如果您有任何疑问，或者需要帮助，随时可以加我的微信，我的微信号和手机号一样，是一三四五六七八九零。
right: 好的，我会加您的微信的。",Factual Authenticity / Truthfulness,咨询客服,TRUE,银行诈骗
"left: 喂，你好，这里是速贷宝金融中心，我是客户经理张伟，我们这里有一款低息贷款产品，月息只要零点五厘，你最近有资金需求吗？
right: 你好，我暂时没有贷款的需求。
left: 哦，那真是太可惜了。不过你如果有朋友或者家人需要的话，可以推荐他们来申请，我们的贷款流程非常简单，只需要填写一个申请表，提供一些基本信息就可以了。
right: 好的，谢谢你的推荐。
left: 不客气，对了，如果你将来有需要的话，可以加我的微信，随时咨询，我的微信号是速贷宝客服，添加时备注一下你的名字。
right: 好的，我会考虑的。
left: 太好了，你有任何问题都可以随时联系我，我会尽力帮助你的。希望我们的服务能帮到你。
right: 谢谢，再见。
left: 再见，祝你生活愉快。",Personalization,咨询客服,TRUE,银行诈骗
"left: 喂，你好，我是小张，我这边是华银金融的客服专员，最近我们推出了一个新的信贷服务，不需要抵押，审批快，额度高，你有兴趣了解一下吗？
right: 你好，我现在手头挺紧的，确实需要一些资金周转，你们的贷款流程是怎么样的？
left: 非常简单，你只需要下载我们的华银金融APP，填写个人信息，提交申请，审核通过后就可以直接放款了。
right: 下载APP吗？听起来挺方便的，但是安全性怎么样？
left: 我们华银金融是正规金融机构，APP也是经过官方认证的，非常安全。你只需要提供身份证和银行卡信息，我们不会收取任何手续费。
right: 那我就试试看吧，你给我发个下载链接吧。
left: 好的，稍等一下，我会通过短信给你发送一个链接，你点击链接就可以直接下载APP了。
right: 好的，我等一下短信。
left: 好的，短信已经发过去了，你注意查收，有任何问题都可以随时联系我。希望我们的服务能帮助到你。
right: 谢谢，我会看看的。",Clarity,咨询客服,TRUE,客服诈骗
